02WI, 45.03191125, -92.65575662, 919.95
02XS, 30.14771283, -97.66277924, 509.84
02Y, 48.68331101, -96.19196087, 1069.88
03AZ, 31.43343274, -110.0839658, 4274.93
03B, 37.12783054, -92.62100279, 1500.00
03CO, 40.21249998, -104.7444445, 4950.13
03D, 40.44725832, -92.22696126, 812.99
03FA, 27.35309746, -81.40812859, 69.88
03FD, 30.82879812, -85.73104262, 115.16
03GA, 31.58500001, -83.72916654, 384.84
03I, 39.64422774, -83.01823899, 680.12
03IA, 41.58194605, -92.46129647, 954.07
03ID, 44.79432955, -116.5326463, 3180.12
03II, 37.96198715, -87.77891189, 464.90
03IL, 41.40225548, -87.8167136, 750.00
03IN, 40.18003687, -86.01248503, 850.07
03KY, 37.79170945, -87.54139915, 384.84
03M, 44.32090189, -69.88949284, 165.03
03MA, 42.39314463, -72.55203232, 149.93
03ME, 44.08423718, -70.62728271, 556.10
03MN, 43.62523846, -95.22472233, 1435.04
03MO, 37.88447902, -93.13158095, 1009.84
03MT, 47.27078296, -111.7216493, 3580.05
03MU, 38.49251401, -94.41244975, 874.02
03N, 11.23333342, 169.8499998, 3.94
03NC, 34.10433825, -77.90416673, 35.10
03ND, 48.6263828, -97.82898322, 1044.95
03NE, 41.54639639, -99.33121294, 2430.12
03NV, 40.58444459, -115.2977778, 6120.08
03NY, 40.9584317, -72.71676511, 95.14
03OH, 41.41838528, -83.017416, 580.05
03OK, 36.04119726, -96.16138905, 890.09
03OR, 45.85542217, -117.4843441, 3339.90
03PN, 39.81676251, -77.26637363, 524.93
03PS, 40.85000005, -77.90555567, 1049.87
03S, 45.40178619, -122.2286971, 704.07
03TA, 30.26271254, -96.50024593, 504.92
03TE, 27.49114439, -98.66946146, 600.07
03UT, 37.12083466, -109.985957, 5314.96
03VA, 38.6645633, -77.57971108, 250.00
03WA, 47.40822706, -117.3718634, 2439.96
03WI, 44.02748097, -88.88094619, 879.92
03WY, 43.8749595, -107.3381276, 4899.93
03XS, 31.3180555, -100.7541668, 2100.07
04A, 31.7362776, -86.26247227, 299.87
04AZ, 36.15417056, -109.5506626, 5515.09
04CA, 34.56388883, -117.675, 3020.01
04CL, 33.08171086, -116.4414047, 2310.04
04F, 32.09875234, -98.52532625, 1292.98
04FA, 25.55871908, -80.51505715, 8.86
04FD, 29.91995271, -82.90262684, 44.95
04FL, 29.23942465, -81.22200519, 29.86
04G, 41.13047227, -80.61958328, 1043.96
04I, 39.91117224, -83.1888029, 919.95
04IA, 41.08835019, -92.05462039, 800.85
04ID, 43.87766417, -116.5370804, 2342.85
04II, 41.13060437, -84.99413431, 765.09
04IL, 40.63753523, -89.00701895, 754.92
04IS, 40.17864481, -88.56895253, 728.02
04KY, 37.13505372, -85.78941554, 709.97
04LA, 32.27321293, -93.4060058, 274.93
04LL, 42.13613603, -88.28758121, 750.00
04M, 33.93011134, -89.34285298, 382.87
04MA, 42.80981138, -71.13922522, 200.13
04ME, 44.66672882, -69.89394397, 625.00
04MI, 42.53448129, -84.62831318, 879.92
04MN, 47.98579216, -94.68691751, 1194.88
04MO, 39.30115242, -91.45154268, 767.06
04MS, 32.93957189, -90.83732218, 100.07
04MT, 47.13749796, -106.4880949, 2714.90
04NE, 41.15999334, -101.2990522, 3035.10
04NJ, 39.59678114, -75.23351893, 154.86
04NV, 35.7555316, -115.6647281, 2620.08
04NY, 42.26230916, -73.69623318, 250.00
04OH, 41.24769487, -81.10065177, 1080.05
04OI, 41.42005194, -83.79716098, 665.03
04OR, 44.74985518, -120.201129, 1500.00
04PS, 40.51537972, -75.16961843, 540.03
04TN, 36.18333355, -82.67888904, 1430.12
04TX, 31.7322221, -97.36888871, 564.96
04UT, 37.00832974, -110.7951365, 6160.10
04V, 38.09722245, -106.1686362, 7826.12
04VG, 37.71443334, -77.21181661, 49.87
04W, 46.02277793, -92.89544463, 1021.00
04WA, 47.58183606, -117.4371524, 2345.14
04WI, 42.52335247, -88.01674783, 759.84
04WY, 44.83331714, -105.3505486, 3521.98
04Y, 46.88382234, -96.35026127, 1208.99
05A, 32.30007224, -110.3650779, 3374.02
05AK, 61.66829992, -149.1878499, 274.93
05AR, 36.1042456, -94.15437028, 1259.84
05B, 47.15893216, -67.93196842, 439.96
05C, 41.51984185, -87.39950851, 633.86
05CL, 38.61073908, -122.3913677, 618.11
05CO, 40.21498404, -104.9844226, 4978.02
05D, 47.96695836, -102.4779582, 1924.87
05FA, 30.91790848, -86.21696949, 270.01
05FL, 26.52305536, -81.40833333, 36.09
05GA, 32.07138877, -84.71444428, 625.00
05IA, 43.13746668, -93.06825668, 1154.86
05ID, 45.91408376, -114.8356605, 2969.16
05II, 41.02865964, -84.99718934, 794.95
05IL, 41.15669724, -88.01671386, 634.84
05IN, 39.64199077, -86.50416434, 859.91
05IS, 39.72587653, -89.263971, 604.99
05KS, 37.26617217, -95.95915005, 944.88
05KY, 37.64535908, -84.28298771, 994.09
05LA, 32.26527795, -91.69777796, 76.12
05LS, 31.24999981, -92.47686669, 81.04
05MD, 39.2501083, -76.20522782, 20.01
05ME, 44.65702158, -67.55916014, 69.88
05MN, 44.63441055, -93.07243601, 919.95
05MT, 45.35409417, -111.7346969, 4965.88
05NE, 41.72223296, -98.30895826, 2009.84
05OI, 41.28838532, -81.96263954, 830.05
05OK, 35.85337993, -97.56754428, 1075.13
05OR, 45.44153787, -117.3510097, 3500.00
05PS, 40.14277797, -77.86194429, 1209.97
05S, 45.85150011, -123.2415055, 646.98
05TA, 29.80913054, -96.26507789, 275.92
05TE, 30.72213337, -97.79140234, 950.13
05TN, 35.557025, -89.55285385, 285.10
05TS, 33.12928755, -97.3586306, 750.00
05TX, 32.12916657, -97.40416646, 607.94
05U, 39.604178, -116.0050584, 5954.07
05UT, 37.03333262, -110.3173542, 4837.93
05V, 37.41111942, -105.5516808, 7720.14
05VA, 37.22416677, -78.41861129, 444.88
05W, 35.58155447, -76.51548475, 3.94
05WI, 42.65112452, -88.74593854, 958.01
05XS, 33.0792905, -91.54317543, 104.99
05Y, 46.30384997, -95.43948323, 1455.05
06A, 32.46047236, -85.68003595, 264.11
06AR, 35.54452188, -92.18487427, 499.02
06B, 44.90701351, -68.8050364, 115.16
06C, 41.98934175, -88.10124144, 800.85
06CO, 37.38751397, -103.691061, 5100.07
06D, 48.88434157, -99.62087765, 1821.85
06FA, 26.90839157, -80.32893866, 27.89
06I, 38.43338873, -86.69110224, 536.09
06IA, 41.84139445, -91.83434442, 879.92
06ID, 43.46266508, -116.3590086, 2750.00
06II, 40.02309211, -86.03748545, 767.06
06IL, 41.59952793, -88.86994466, 708.01
06IN, 39.28281784, -87.30362803, 575.13
06IS, 40.54643165, -91.27431572, 694.88
06M, 33.53456665, -89.3125695, 450.13
06MN, 47.65194465, -92.41666675, 1462.93
06MO, 39.23055768, -94.80440587, 754.92
06MT, 48.55831739, -112.1092035, 3541.01
06N, 41.43196128, -74.39159453, 522.97
06NC, 34.82750002, -78.93027797, 163.06
06ND, 46.74889214, -101.6693155, 2180.12
06NH, 42.92842235, -70.97311109, 160.10
06NY, 42.84277774, -76.44527793, 1100.07
06OH, 41.50977619, -80.59118584, 1160.10
06OI, 39.73477811, -84.3822223, 915.03
06OR, 45.46511516, -123.0795501, 850.07
06PA, 42.00839885, -78.25806856, 1439.96
06R, 29.94189151, -96.24607489, 289.04
06SN, 37.58390598, -97.25309953, 1339.90
06TA, 30.90852007, -97.1169363, 479.99
06TE, 30.31270959, -95.02687544, 128.94
06TN, 35.69729146, -86.9569476, 640.09
06TS, 32.12070856, -96.17913991, 350.07
06TX, 30.05755004, -95.81289455, 214.90
06U, 41.97602224, -114.6580915, 5212.93
06VA, 38.24901871, -78.85530353, 1160.10
06VT, 43.13377831, -73.07738945, 669.95
06WI, 45.66272993, -92.45019794, 1075.13
06XS, 33.32472235, -97.04416663, 545.93
06Y, 45.8299613, -96.16061389, 1067.91
07A, 32.16959182, -85.80967516, 300.85
07AR, 35.19452747, -92.80016586, 299.87
07B, 44.44797222, -68.55302766, 359.91
07C, 41.30716682, -85.06433308, 880.91
07CL, 39.49766379, -121.7713648, 100.07
07CO, 39.26361121, -104.4269443, 6620.08
07D, 43.06447506, -82.72383347, 764.11
07F, 32.52883885, -94.97174442, 296.92
07FA, 25.32539304, -80.27477458, 7.87
07FD, 30.41799199, -83.28375399, 89.90
07GA, 33.67500007, -83.76305535, 750.00
07I, 39.05865993, -86.44610435, 538.06
07IA, 42.83330686, -94.86692995, 1299.87
07ID, 42.27824718, -113.3049984, 4580.05
07IN, 39.57365882, -85.91387048, 750.00
07K, 41.11261111, -98.05173352, 1714.90
07KS, 37.73418412, -96.93670079, 1320.87
07KY, 38.08062259, -85.69329232, 532.15
07L, 42.07509466, -72.59119973, 40.03
07MD, 39.60833341, -77.05194444, 700.13
07MI, 43.86418909, -85.0239189, 1064.96
07MN, 44.05496489, -95.90946302, 1680.12
07MO, 38.65001466, -93.61687928, 879.92
07MT, 48.42110697, -106.527704, 2762.14
07N, 40.01676109, -77.00386673, 470.14
07NC, 34.83320408, -80.75117827, 625.00
07ND, 47.15611953, -102.0643365, 1875.00
07NH, 43.17555573, -72.06388906, 1450.13
07OK, 34.63340465, -99.03368846, 1321.85
07OR, 45.42178642, -122.6203707, 250.00
07PA, 40.75842876, -75.53296208, 776.90
07R, 27.61031125, -97.75194168, 55.12
07SN, 39.77278736, -99.36009765, 1964.90
07TA, 29.24051832, -95.3446582, 29.86
07TE, 27.72114012, -97.51277089, 39.04
07TN, 35.56861114, -84.24111083, 970.14
07TS, 30.62500019, -97.57277772, 689.96
07V, 37.52382517, -105.0092693, 7152.89
07VA, 36.8195837, -78.78306225, 350.07
07VT, 44.44465835, -72.91536659, 800.85
07WI, 42.96528898, -88.39148507, 990.16
07Y, 46.9555084, -93.59689727, 1289.04
08A, 32.52944436, -86.32822216, 196.85
08AR, 34.58064929, -91.96819514, 229.99
08B, 44.00000006, -69.88713875, 64.96
08C, 42.93585844, -85.80503583, 603.02
08CL, 37.85964914, -120.5543661, 1024.93
08CO, 38.73247214, -104.0413333, 5600.07
08CT, 41.89599719, -73.09314743, 880.91
08D, 48.30080017, -102.4063531, 2249.02
08F, 34.53175832, -96.23305276, 615.16
08FA, 26.57979481, -81.48368865, 35.10
08FD, 27.36309841, -80.7728371, 64.96
08FL, 27.08449703, -81.32868335, 103.02
08GA, 31.42578039, -81.28592894, 12.14
08IA, 41.4105539, -92.88158566, 871.06
08ID, 43.56932547, -116.7768051, 2680.12
08IL, 41.57697726, -89.79399383, 643.04
08IS, 37.97782827, -89.2028591, 399.93
08K, 40.65138616, -98.07978585, 1814.96
08KS, 39.03472189, -97.58003175, 1250.00
08KY, 36.97257657, -84.62605208, 819.88
08LL, 41.07527778, -88.48916665, 665.03
08M, 32.76124723, -89.53007206, 454.07
08MA, 42.2939837, -71.49617448, 359.91
08ME, 44.81422383, -70.34534365, 554.13
08MN, 47.66937397, -93.05444464, 1372.05
08MO, 37.39560552, -94.28383604, 955.05
08MS, 34.6622223, -89.86833304, 299.87
08MT, 47.06386294, -108.817369, 3450.13
08N, 40.29175825, -76.32884458, 549.87
08NC, 36.06763713, -80.46561196, 750.00
08ND, 47.32306391, -102.0976728, 1990.16
08NE, 42.43166685, -97.07949221, 1466.86
08NY, 41.36805564, -74.50555578, 649.93
08OH, 41.29172232, -80.56368381, 1229.99
08OK, 34.93148625, -95.25830269, 634.84
08OR, 42.83931166, -121.1172174, 4990.16
08R, 41.48950003, -71.62063882, 129.92
08TE, 29.97604676, -98.74363974, 1446.85
08TS, 26.88782841, -98.50723878, 419.95
08TX, 32.85818126, -97.74752945, 1040.03
08U, 41.51574176, -115.8598056, 6396.98
08VA, 37.55402215, -79.74976346, 1000.00
08WI, 43.04360244, -90.35512403, 1225.07
08XS, 29.10805576, -95.77750012, 44.95
09A, 32.11931381, -88.12746406, 133.86
09AZ, 31.92533344, -110.0381666, 4970.14
09C, 42.16254439, -85.54583341, 871.06
09CL, 39.11378436, -121.0566147, 2310.04
09CO, 38.05556338, -103.6532803, 4180.12
09FA, 27.24560224, -81.41312867, 129.92
09FD, 28.67110346, -82.08730683, 70.87
09FL, 27.05555532, -81.97055563, 60.04
09GA, 31.11129843, -83.68405849, 229.99
09I, 48.60583339, -93.37083355, 1109.91
09IA, 41.74583171, -92.40935147, 819.88
09ID, 45.10408044, -114.8553747, 3834.97
09II, 38.44727989, -86.44498497, 879.92
09IN, 41.12088002, -85.42497709, 850.07
09J, 31.07447203, -81.42777756, 12.14
09K, 41.63695011, -99.34038073, 2312.99
09KS, 38.70695327, -95.13830334, 970.14
09LL, 42.46807247, -88.74315843, 1000.00
